,genre_ids,original_title,release_date,production_budget,domestic_gross,worldwide_gross,domestic_return,worldwide_return,release_year
Carrie,"[27, 53]",Carrie,2013-10-18,30000000.0,35266619.0,82409520.0,1.1755539666666666,2.746984,2013
Carrie,"[27, 53]",Carrie,1976-11-16,1800000.0,25878153.0,25878153.0,14.376751666666667,14.376751666666667,1976
Carrie,"[18, 27]",Carrie,2013-10-18,30000000.0,35266619.0,82409520.0,1.1755539666666666,2.746984,2013
Carrie,"[18, 27]",Carrie,1976-11-16,1800000.0,25878153.0,25878153.0,14.376751666666667,14.376751666666667,1976
Cars 2,"[16, 10751, 12, 35]",Cars 2,2011-06-24,200000000.0,191450875.0,560155383.0,0.957254375,2.800776915,2011
Cars 3,"[12, 16, 35, 10751]",Cars 3,2017-06-16,175000000.0,152901115.0,383541369.0,0.8737206571428572,2.1916649657142857,2017
Casino Jack,"[80, 35, 18]",Casino Jack,2010-12-17,12500000.0,2039869.0,2272186.0,0.16318952,0.18177488,2010
Cats & Dogs: The Revenge of Kitty Galore,"[35, 10751, 28, 14]",Cats & Dogs: The Revenge of Kitty Galore,2010-07-30,85000000.0,43585753.0,113026383.0,0.5127735647058823,1.3297221529411765,2010
Cedar Rapids,[35],Cedar Rapids,2011-02-11,10000000.0,6861102.0,7862131.0,0.6861102,0.7862131,2011
Central Intelligence,"[28, 35, 9648]",Central Intelligence,2016-06-17,50000000.0,127440871.0,217194805.0,2.54881742,4.3438961,2016
Centurion,"[12, 28, 18]",Centurion,2010-08-27,15000000.0,123570.0,7885048.0,0.008238,0.5256698666666667,2010
Chain Letter,"[27, 53]",Chain Letter,2010-10-01,3000000.0,205842.0,1022453.0,0.068614,0.3408176666666667,2010
Chain of Command,"[53, 12, 28]",Chain of Command,2015-09-08,4000000.0,0.0,0.0,0.0,0.0,2015
Chappie,"[80, 28, 878]",Chappie,2015-03-06,49000000.0,31569268.0,105002056.0,0.6442707755102041,2.142899102040816,2015
Charlie St. Cloud,"[18, 10749]",Charlie St. Cloud,2010-07-30,44000000.0,31206263.0,48478084.0,0.70923325,1.1017746363636363,2010
Chasing Mavericks,[18],Chasing Mavericks,2012-10-26,20000000.0,6002756.0,8300821.0,0.3001378,0.41504105,2012
Cheap Thrills,"[35, 80, 18]",Cheap Thrills,2014-03-21,100000.0,59424.0,59424.0,0.59424,0.59424,2014
Checkmate,"[53, 28, 80]",Checkmate,2015-09-08,1500000.0,0.0,0.0,0.0,0.0,2015
Checkmate,"[9648, 28, 53]",Checkmate,2015-09-08,1500000.0,0.0,0.0,0.0,0.0,2015
Chemical Cut,"[35, 18]",Chemical Cut,2016-12-31,1000000.0,0.0,0.0,0.0,0.0,2016
Chernobyl Diaries,"[27, 53]",Chernobyl Diaries,2012-05-25,1000000.0,18119640.0,42411721.0,18.11964,42.411721,2012
Child 44,"[80, 53]",Child 44,2015-04-17,50000000.0,1224330.0,8004221.0,0.0244866,0.16008442,2015
Childless,[],Childless,2015-05-15,1000000.0,1036.0,1036.0,0.001036,0.001036,2015
