id,runtime,budget,revenue,roi
55779,92,47000000,157887643,235.93115531914896
50646,118,50000000,142851197,185.702394
59436,94,30000000,151119219,403.73073
76025,102,6500000,3909002,-39.86150769230769
75174,117,25000000,77278331,209.113324
44826,126,170000000,185770160,9.276564705882354
44943,116,70000000,211819354,202.59907714285714
55301,87,75000000,342695435,356.9272466666667
50014,146,25000000,216639112,766.5564479999999
23047,95,40000000,91627228,129.06807
40807,100,8000000,39187783,389.8472875
60935,103,35000000,31505287,-9.984894285714285
59108,104,75000000,152930623,103.90749733333334
49520,112,52000000,75450437,45.09699423076923
48138,113,30000000,130786397,335.95465666666666
58151,106,30000000,41002607,36.675356666666666
17578,107,130000000,371940071,186.10774692307692
71859,113,7000000,10765283,53.78975714285714
52451,110,75000000,132274484,76.36597866666666
49730,100,42000000,89162162,112.2908619047619
50348,119,40000000,85412898,113.532245
8967,139,32000000,54674226,70.85695625
46529,109,50000000,149878437,199.75687399999998
71880,91,79000000,149673788,89.4604911392405
62838,118,56000000,142044638,153.65113928571427
62215,135,7400000,15946321,115.49082432432431
786,122,60000000,47383689,-21.027185
59860,109,20000000,39667665,98.338325
49517,127,30000000,80630608,168.76869333333332
62835,108,40000000,60965854,52.414635
65057,115,20000000,177243185,786.2159250000001
39538,106,60000000,137551594,129.25265666666667
63492,106,20000000,30426096,52.13048
57212,146,66000000,177584879,169.0679984848485
48231,99,15000000,27462041,83.08027333333334
51828,107,15000000,59389433,295.92955333333333
72113,80,25000000,30722632,22.890528
74643,100,15000000,133432856,789.5523733333333
38117,86,17000000,43202283,154.13107647058823
10316,101,12500000,76338111,510.704888
48988,105,36000000,86157237,139.32565833333334
74465,124,50000000,120081841,140.163682
64685,129,40000000,55247881,38.1197025
55721,125,32500000,288383523,787.3339169230769
50456,111,30000000,63782078,112.60692666666668
72571,83,5000000,207039844,4040.79688
59678,82,14350531,3964682,-72.37257631790767
417859,90,130000000,554987477,326.9134438461538
46705,112,3500000,16566240,373.32114285714283
88794,137,35000000,84606030,141.7315142857143
58224,94,55000000,187361754,240.65773454545453
63311,120,13000000,5774854,-55.57804615384615
55787,122,38000000,117094902,208.1444789473684
38356,154,195000000,1123794079,476.30465589743596
37472,108,12902809,36000000,179.0090126886324
