,genre_ids,original_title,title,release_date,movie,production_budget,domestic_gross,worldwide_gross,domestic_return,worldwide_return,domestic_return%,worldwide_return%,release_year,release_day,release_month
44,"[80, 18, 28, 53]",Faster,Faster,2016-12-16,Rogue One: A Star Wars Story,200000000.0,532177324.0,1049102856.0,166.088662,424.551428,166.088662,424.551428,2016,Friday,December
45,[27],The Wolfman,The Wolfman,2016-06-17,Finding Dory,200000000.0,486295561.0,1021215193.0,143.1477805,410.60759649999994,143.1477805,410.60759649999994,2016,Friday,June
46,"[28, 53]",Unstoppable,Unstoppable,2010-06-18,Toy Story 3,200000000.0,415004880.0,1068879522.0,107.50243999999999,434.439761,107.50243999999999,434.439761,2010,Friday,June
47,"[18, 53]",Black Swan,Black Swan,2013-05-03,Iron Man 3,200000000.0,408992272.0,1215392272.0,104.496136,507.696136,104.496136,507.696136,2013,Friday,May
48,"[16, 12, 10751, 14]",Tinker Bell and the Great Fairy Rescue,Tinker Bell and the Great Fairy Rescue,2017-05-05,Guardians of the Galaxy Vol 2,200000000.0,389813101.0,862316233.0,94.9065505,331.1581165,94.9065505,331.1581165,2017,Friday,May
49,"[10749, 18]",Tres metros sobre el cielo,Three Steps Above Heaven,2004-06-30,Spider-Man 2,200000000.0,373524485.0,795110670.0,86.7622425,297.555335,86.7622425,297.555335,2004,Wednesday,June
50,"[12, 28, 18]",Centurion,Centurion,2010-03-05,Alice in Wonderland,200000000.0,334191110.0,1025491110.0,67.09555499999999,412.74555499999997,67.09555499999999,412.74555499999997,2010,Friday,March
51,"[28, 35, 80]",The Other Guys,The Other Guys,2012-11-08,Skyfall,200000000.0,304360277.0,1110526981.0,52.1801385,455.2634905,52.1801385,455.2634905,2012,Thursday,November
52,"[80, 18, 53]",The Town,The Town,2013-06-21,Monsters University,200000000.0,268488329.0,743588329.0,34.244164500000004,271.79416449999997,34.244164500000004,271.79416449999997,2013,Friday,June
53,"[28, 37, 18, 14, 53]",Jonah Hex,Jonah Hex,2013-03-08,Oz the Great and Powerful,200000000.0,234770996.0,490359051.0,17.385498,145.17952549999998,17.385498,145.17952549999998,2013,Friday,March
54,"[12, 28, 878]",TRON: Legacy,TRON: Legacy,2014-05-23,X-Men: Days of Future Past,200000000.0,233921534.0,747862775.0,16.960766999999997,273.9313875,16.960766999999997,273.9313875,2014,Friday,May
55,"[12, 14, 28, 10749]",Prince of Persia: The Sands of Time,Prince of Persia: The Sands of Time,2014-05-02,The Amazing Spider-Man 2,200000000.0,202853933.0,708996336.0,1.4269665,254.498168,1.4269665,254.498168,2014,Friday,May
56,"[35, 16, 10751]",The Great Mouse Detective,The Great Mouse Detective,2011-06-24,Cars 2,200000000.0,191450875.0,560155383.0,-4.2745625,180.0776915,-4.2745625,180.0776915,2011,Friday,June
57,"[14, 18]",The Lovely Bones,The Lovely Bones,2010-12-17,Tron: Legacy,200000000.0,172062763.0,400062763.0,-13.9686185,100.0313815,-13.9686185,100.0313815,2010,Friday,December
58,[18],All About Eve,All About Eve,2009-11-13,2012,200000000.0,166112167.0,757677748.0,-16.9439165,278.838874,-16.9439165,278.838874,2009,Friday,November
